d,-16076,580,36,159,167,232
d,-15008,1148,5728,132,343,-43
d,-11084,-2748,10912,387,-124,-49
d,-16048,1660,1728,31,310,283
d,-14640,-1852,5820,182,132,141
d,-15328,276,4224,290,330,534
d,-10812,-4348,11176,-66,249,-5
d,-15984,-1204,1840,112,-65,-214
d,-15876,-1664,2524,130,-116,-307
d,-15404,8,308,318,91,-186
d,-9560,-3472,12084,20,-122,130
d,-16160,-764,1696,53,-217,-82
d,-16636,1156,-428,85,489,140
d,-15360,192,-4704,-22,376,752
d,-16476,1252,-176,121,73,47
d,-7044,-5112,13504,136,44,28
d,-16364,320,-568,-199,145,124
d,-15956,704,-1064,-47,-134,158
d,-15900,776,2408,-27,173,348
d,-15208,48,2880,814,83,-328
d,-10624,-5468,11136,147,137,10
d,-13408,-6900,4096,194,327,337
d,-15972,-1800,2512,-273,15,-167
