l,-2700,-5652,14760,242,411,-972
l,-4524,-7280,13696,92,222,208
l,-1388,-16136,-872,449,160,37
l,148,-15556,-4760,135,131,70
l,-636,-3540,15832,45,173,3
l,-3212,-4796,15144,-57,180,161
l,-2060,-7788,14064,141,-63,-188
l,-1968,-2588,15856,-302,209,331
l,-2748,-3392,15572,113,-85,117
l,-7464,-5028,13552,45,-63,-55
l,-9604,-608,12912,9,664,463
l,-11644,-1624,10564,123,63,-78
l,-6412,-9924,11384,49,287,313
l,-12864,-8,9656,-91,148,298
l,-2212,-14552,6024,-248,-5,306
l,-3076,-4136,15268,51,330,478
l,-14660,-2772,5060,0,-485,-286
l,-3040,-3484,15356,-444,676,641
l,-5336,-2632,15268,-41,353,-163
l,-13356,-2628,8624,25,168,77
l,-12032,-6168,8816,-89,663,34
l,-11764,-8052,7800,-427,426,-183
l,-8976,-5928,11888,225,126,104
