u,7380,204,14644,69,-117,191
u,10196,528,12652,-8,5,-4
u,14468,-680,6992,122,-37,42
u,8756,-1624,13344,234,220,-2
u,9264,-508,13536,155,50,97
u,12684,-2496,9580,40,80,-67
u,9560,-5168,11780,75,31,25
u,9696,-4660,11832,248,338,301
u,14096,-156,7976,111,40,83
u,11952,-5440,9800,-261,-305,644
u,13260,-2676,8444,-128,260,370
u,12524,-2804,9924,170,43,148
u,10276,-2196,11872,-37,653,80
u,13100,-5400,7964,367,901,533
u,12768,-576,10064,-115,-193,-37
u,9460,-4652,12424,-219,-633,-183
u,11548,-1196,11548,16,-149,-8
u,-8684,-752,13612,5,262,-88
u,-9480,-2448,12400,-151,-66,246
u,13440,296,9164,57,379,286
u,10524,-2988,12156,33,60,260
u,920,-892,16112,98,-31,108
u,12384,-3056,10292,69,-225,19

